央视,#genre#
CGTN阿拉伯语,http://gslbmgsplive.miguvideo.com/envivo_v/SD/cctv/alabo/1000/index.m3u8?msisdn=20251006200034f1119471080b468cbaa8903dde9b9261&mdspid=&spid=699004&netType=0&sid=2200179303&pid=2028597139&timestamp=20251006200034&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=609154345&ParentNodeID=-99&assertID=2200179303&client_ip=106.13.250.90&SecurityKey=20251006200034&promotionId=&mvid=2200179303&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=2b52d5cb0fb06fbfce5f68f76fb34c61&ddCalcu=126bec504293d0b5fc6b70ff8b60f65febcf
CGTN西班牙语,http://gslbmgsplive.miguvideo.com/envivo_v/2018/SD/cctv/xibanya/1000/index.m3u8?msisdn=202510062000348bbd0839643543a2a9800bd21a6dad42&mdspid=&spid=699004&netType=0&sid=2200179337&pid=2028597139&timestamp=20251006200034&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=609006450&ParentNodeID=-99&assertID=2200179337&client_ip=106.13.250.90&SecurityKey=20251006200034&promotionId=&mvid=2200179337&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=27b92f22eef428079c23877b0c671106&ddCalcu=6207e1b01997206fc202be7e7f843228c097
CGTN法语,http://gslbmgsplive.miguvideo.com/envivo_v/2018/SD/cctv/fayu/1000/index.m3u8?msisdn=20251006200034585ed3dfefce4cff9f8844b5f5bf94f4&mdspid=&spid=699004&netType=0&sid=2200179324&pid=2028597139&timestamp=20251006200034&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=609006476&ParentNodeID=-99&assertID=2200179324&client_ip=106.13.250.90&SecurityKey=20251006200034&promotionId=&mvid=2200179324&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=453577db313fc9a6ca5bd061f3cfa8a1&ddCalcu=14a5e830a59f70c73dfb136103dfbc59aac6
CGTN俄语,http://gslbmgsplive.miguvideo.com/envivo_v/2018/SD/cctv/eyu/1000/index.m3u8?msisdn=202510062000344dc73476e836430889829fdf40936ec6&mdspid=&spid=699004&netType=0&sid=2200179332&pid=2028597139&timestamp=20251006200034&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=609006446&ParentNodeID=-99&assertID=2200179332&client_ip=106.13.250.90&SecurityKey=20251006200034&promotionId=&mvid=2200179332&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=4b837865c22fb693f148cd8eb6991ade&ddCalcu=e4dbea801399709866b5ec82d2cf8b4619f3
老故事,http://gslbmgsplive.miguvideo.com/migu/kailu/cctvlaogushi/50/20231109/index.m3u8?msisdn=20251006200034819a70403c054927a1607c45ea904cac&mdspid=&spid=699004&netType=0&sid=5910022002&pid=2028597139&timestamp=20251006200034&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=884121956&ParentNodeID=-99&assertID=5910022002&client_ip=106.13.250.90&SecurityKey=20251006200034&promotionId=&mvid=5900006372&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=4c959ab0a2c2d6d7c7acd59b6cbea8db&ddCalcu=b4dce890a54e90bacb60ba925cd2cda67dc7
中学生,http://gslbmgsplive.miguvideo.com/migu/kailu/20210415/cctvzhongxuesheng/51/index.m3u8?msisdn=20251006200034123c4bb53e8c48528700905c11869a0d&mdspid=&spid=699004&netType=0&sid=5910019355&pid=2028597139&timestamp=20251006200034&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=708869532&ParentNodeID=-99&assertID=5910019355&client_ip=106.13.250.90&SecurityKey=20251006200034&promotionId=&mvid=5900002149&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=318e0edf9060d5b09fc47352254408c2&ddCalcu=23c1e8800e84004e5d2f295036704dc5fb90
CGTN,http://gslbmgsplive.miguvideo.com/envivo_x/2018/SD/cctvnews/1000/index.m3u8?msisdn=202510062000345461072d2d8643d49de09911e1879bf9&mdspid=&spid=699004&netType=0&sid=2202196407&pid=2028597139&timestamp=20251006200034&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=609017205&ParentNodeID=-99&assertID=2202196407&client_ip=106.13.250.90&SecurityKey=20251006200034&promotionId=&mvid=2202196407&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=dd0ec380960c8f01e58cd985fa122324&ddCalcu=4d2de3002e92c013a8f0598690dcc88f50e1

体育,#genre#
五环传奇,http://gslbmgsplive.miguvideo.com/wd_r2/virtuallive/5102010211/150/index.m3u8?msisdn=202510062000345e1c3beb6d654016970c553bbe0eff2d&mdspid=&spid=800033&netType=0&sid=5500462658&pid=2028597139&timestamp=20251006200034&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=707671890&ParentNodeID=-99&assertID=5500462658&client_ip=106.13.250.90&SecurityKey=20251006200034&promotionId=&mvid=5102010211&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=39d209ef4d1dbf5acb73efdf3f933aba&ddCalcu=a3b9ead032730099fe3ff4ddf1ed3b7fb5ca
